Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
4.7,Hyper Reach,,https://www.york.ac.uk/admin/hr/online-services/hyper-reach/using-hyper-reach/,/admin/hr/online-services/hyper-reach/using-hyper-reach/,/hr/systems/hyper-reach,3,Information page,11 HR tools and systems,None,,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
4.8,Learning Management System,,https://www.york.ac.uk/admin/hr/browse/online-services/lms,/browse/online-services/lms,/hr/systems/lms,3,Index page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
4.8.1,Learning Management System: Guide for all staff,,https://www.york.ac.uk/admin/hr/online-services/lms/guide-for-all-staff/browse-for-learning/,/admin/hr/online-services/lms/guide-for-all-staff/browse-for-learning/,/hr/systems/lms/guide,4,Information page (non standard),11 HR tools and systems,None,Fine as is,Alex McFarlane,,"Use the gallery content type and merge the screenshots from the sub pages:
/admin/hr/online-services/lms/guide-for-all-staff/calendar-of-events/
/admin/hr/online-services/lms/guide-for-all-staff/home-page/
/admin/hr/online-services/lms/guide-for-all-staff/personal-profile/
/admin/hr/online-services/lms/guide-for-all-staff/terminology/
/admin/hr/online-services/lms/guide-for-all-staff/training-record/",Custom,FALSE,Preview,Edit
4.8.2,What is the Learning Management System,,https://www.york.ac.uk/admin/hr/online-services/lms/what-is-the-lms/,/admin/hr/online-services/lms/what-is-the-lms/,/hr/systems/lms/overview,4,Information page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
4.9,MyView,,https://www.york.ac.uk/admin/hr/browse/online-services/myview,/browse/online-services/myview,/hr/systems/myview,3,Index page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
4.9.1,What is MyView,,https://www.york.ac.uk/admin/hr/online-services/myview/what-is-myview/,/admin/hr/online-services/myview/what-is-myview/,/hr/systems/myview/overview,4,Information page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
4.10,ResourceLink,,https://www.york.ac.uk/admin/hr/browse/online-services/resourcelink,/browse/online-services/resourcelink,/hr/systems/resourcelink,3,Index page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
4.10.1,What is ResourceLink,,https://www.york.ac.uk/admin/hr/online-services/resourcelink/what-is-resourcelink/,/admin/hr/online-services/resourcelink/what-is-resourcelink/,/hr/systems/resourcelink/overview,4,Information page,11 HR tools and systems,None,Fine as is,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
4.11,Tableau,,https://www.york.ac.uk/admin/hr/online-services/tableau/what-is-tableau/,/admin/hr/online-services/tableau/what-is-tableau/,/hr/systems/tableau,3,Information page,11 HR tools and systems,None,Fine as is,Alex McFarlane,Deleted the browse listing page for this from the hierarchy as there are only two links and both covered by this page,,answer-template-2017,FALSE,Preview,Edit
5.0,Forms and templates,,https://www.york.ac.uk/admin/hr/browse/forms,/browse/forms,/hr/forms,2,Repository,12 Forms and templates,None,Fine as is,HRLT,,"Build a repository page using Google Sheet filterable table.
Current index pages will be deleted and these will become the filter categories on the table:
/browse/forms/absence-and-leave /browse/forms/appts-contracts-leavers /browse/forms/induction-and-probation /browse/forms/occupational-health /browse/forms/parental-leave /browse/forms/pay-and-grading /browse/forms/performance-review /browse/forms/recruitment /browse/forms/temporary-workers",Custom,TRUE,Preview,Edit
5.1,Contract acceptance,,https://www.york.ac.uk/admin/hr/forms/appts-contracts-leavers/contract-acceptance/,/admin/hr/forms/appts-contracts-leavers/contract-acceptance/,/hr/forms/contract-acceptance,3,Online form,12 Forms and templates,None,Fine as is,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.1.1,Contract acceptance received,,https://www.york.ac.uk/admin/hr/forms/appts-contracts-leavers/contract-not-accepted/,/admin/hr/forms/appts-contracts-leavers/contract-not-accepted/,/hr/forms/contract-acceptance/thank-you,4,Thank you page,12 Forms and templates,None,Fine as is,Matt Ramm,,,answer-template-2017,TRUE,Preview,Edit
5.2,Leaver questionnaire,,https://www.york.ac.uk/admin/hr/forms/appts-contracts-leavers/leaver-questionnaire/,/admin/hr/forms/appts-contracts-leavers/leaver-questionnaire/,/hr/forms/leaver-questionnaire,3,Online form,12 Forms and templates,None,Fine as is,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.3,Right to Work check appointment booking,,https://www.york.ac.uk/admin/hr/forms/appts-contracts-leavers/rtw-appointment/,/admin/hr/forms/appts-contracts-leavers/rtw-appointment/,/hr/forms/rtw-appointment,3,Information page (non standard),12 Forms and templates,None,Fine as is,Matt Ramm,,Embedded booking forms. These can be added using the embedded media content type. Keep the 'see online booking page' link.,answer-template-2017,TRUE,Preview,Edit
5.4,Right to Work Documents,,https://www.york.ac.uk/admin/hr/forms/appts-contracts-leavers/rtw-documents/,/admin/hr/forms/appts-contracts-leavers/rtw-documents/,/hr/forms/rtw-documents,3,Online form,12 Forms and templates,None,Fine as is,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.5,Visa application fee and IHS reimbursement form,,https://www.york.ac.uk/admin/hr/forms/compliance/visa-reimbursement/,/admin/hr/forms/compliance/visa-reimbursement/,/hr/forms/visa-reimbursement,3,Online form,12 Forms and templates,None,Minor updates actioned,Kari Methven,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.6,Recruiting manager feedback form,,https://www.york.ac.uk/admin/hr/forms/manager-feedback-on-recruitment/,/admin/hr/forms/manager-feedback-on-recruitment/,/hr/forms/manager-feedback-on-recruitment,3,Online form,12 Forms and templates,None,Major rewrite required,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,backOffice-template-2017,TRUE,Preview,Edit
5.7,Casual worker hourly rate request form,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/casual-rate-request/,/admin/hr/forms/pay-and-grading/casual-rate-request/,/hr/forms/casual-rate-request,3,Online form,12 Forms and templates,None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.7.1,Casual workers: new job request received,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/casual-rate-request/complete/,/admin/hr/forms/pay-and-grading/casual-rate-request/complete/,/hr/forms/casual-rate-request/thank-you,4,Thank you page,12 Forms and templates,None,Fine as is,Louise Abrahams,,,answer-template-2017,TRUE,Preview,Edit
5.8,Professorial pay review: application form,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/professorial-pay-application/,/admin/hr/forms/pay-and-grading/professorial-pay-application/,/hr/forms/professorial-pay-application,3,Online form,12 Forms and templates,None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.9,Rewarding Excellence nomination form,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/rewarding-excellence/,/admin/hr/forms/pay-and-grading/rewarding-excellence/,/hr/forms/rewarding-excellence,3,Online form,12 Forms and templates,None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.9,Rewarding Excellence nomination form received,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/rewarding-excellence/nomination-complete/,/admin/hr/forms/pay-and-grading/rewarding-excellence/nomination-complete/,/hr/forms/rewarding-excellence/thank-you,4,Thank you page,12 Forms and templates,None,Fine as is,Louise Abrahams,,,answer-template-2017,TRUE,Preview,Edit
5.10,Apply for a Temporary Responsibility Allowance TRA,,https://www.york.ac.uk/admin/hr/forms/pay-and-grading/tra-application/,/admin/hr/forms/pay-and-grading/tra-application/,/hr/forms/tra,3,Online form,12 Forms and templates,None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
5.11,Candidate experience questionnaire,,https://www.york.ac.uk/admin/hr/forms/recruitment/candidate-experience/,/admin/hr/forms/recruitment/candidate-experience/,/hr/forms/candidate-experience,3,Online form,12 Forms and templates,None,Major rewrite required,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,backOffice-template-2017,TRUE,Preview,Edit
5.12,Successful candidate experience questionnaire,,https://www.york.ac.uk/admin/hr/forms/recruitment/successful-candidate/,/admin/hr/forms/recruitment/successful-candidate/,/hr/forms/successful-candidate,3,Online form,12 Forms and templates,None,Major rewrite required,Matt Ramm,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,backOffice-template-2017,TRUE,Preview,Edit
6,Learning and career development,,https://www.york.ac.uk/admin/hr/browse/learning-and-development,/browse/learning-and-development,/hr/learning-development,2,Category page,13 Learning development and careers,None,Fine as is,Susan Kane,,"Rebuild as a category page using panels following the prototype.
Add a link to the project and change management resources in the staff branch: https://www.york.ac.uk/staff/essentials/change/",Custom,FALSE,Preview,Edit
6.1,Courses and events,,https://www.york.ac.uk/admin/hr/browse/learning-and-development/courses-and-events,/browse/learning-and-development/courses-and-events,/hr/learning-development/courses-events,3,Index page,13 Learning development and careers,None,Fine as is,Susan Kane,,,Browse listing page,FALSE,Preview,Edit
,University careers,,https://www.york.ac.uk/admin/hr/browse/university-careers,/browse/university-careers,,,Index page,13 Learning development and careers,Deleting,,Susan Kane,RK confirmed to be removed.,,Browse listing page,FALSE,#N/A,#N/A
6.2,Apprenticeships for existing staff,,https://www.york.ac.uk/admin/hr/browse/learning-and-development/apprenticeships,/browse/learning-and-development/apprenticeships,/hr/learning-development/apprenticeships,3,Index page,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,Browse listing page,FALSE,Preview,Edit
1,AI academy,,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/ai-academy/overview/ ,/admin/hr/learning-and-development/apprenticeships/ai-academy/overview/,/hr/learning-development/apprenticeships/ai-academy,4,"Multistep parent, Information page (non standard)",14 Learning development and careers (apprenticeships),None,,Susan Kane,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Programmes,AI academy: Programmes,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/ai-academy/programme/ ,/admin/hr/learning-and-development/apprenticeships/ai-academy/programme/,/hr/learning-development/apprenticeships/ai-academy/programme,5,Multistep guide,14 Learning development and careers (apprenticeships),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Our commitment,AI academy: Our commitment,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/ai-academy/commitment/ ,/admin/hr/learning-and-development/apprenticeships/ai-academy/commitment/,/hr/learning-development/apprenticeships/ai-academy/commitment/,5,Multistep guide,14 Learning development and careers (apprenticeships),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,More information,AI academy: More information,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/ai-academy/more-info/ ,/admin/hr/learning-and-development/apprenticeships/ai-academy/more-info/,/hr/learning-development/apprenticeships/ai-academy/more-info,5,Multistep guide,14 Learning development and careers (apprenticeships),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
1,Accessing the apprenticeship levy,Accessing the apprenticeship levy as an employee of the University,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/overview/,/admin/hr/learning-and-development/apprenticeships/overview/,/hr/learning-development/apprenticeships/levy,4,Multistep parent,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Eligibility,Apprenticeship levy: Eligibility,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/eligibility/,/admin/hr/learning-and-development/apprenticeships/eligibility/,/hr/learning-development/apprenticeships/levy/eligibility,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Finding the right programme,Apprenticeship levy: Finding the right programme,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/finding-the-right-programme/,/admin/hr/learning-and-development/apprenticeships/finding-the-right-programme/,/hr/learning-development/apprenticeships/levy/finding-the-right-programme,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,Finding the right training,Apprenticeship levy: Finding the right training,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/finding-the-right-training-provider/,/admin/hr/learning-and-development/apprenticeships/finding-the-right-training-provider/,/hr/learning-development/apprenticeships/levy/finding-the-right-training,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Off the job training,Apprenticeship levy: Off the job training,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/off-the-job-training/,/admin/hr/learning-and-development/apprenticeships/off-the-job-training/,/hr/learning-development/apprenticeships/levy/off-the-job-training,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Process,Apprenticeship levy: Process,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/the-process-chart/,/admin/hr/learning-and-development/apprenticeships/the-process-chart/,/hr/learning-development/apprenticeships/levy/process,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
7,Case study,Apprenticeship levy: Case study,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/case-study/,/admin/hr/learning-and-development/apprenticeships/case-study/,/hr/learning-development/apprenticeships/levy/case-study,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
8,Further information,Apprenticeship levy: Further information,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/further-information/,/admin/hr/learning-and-development/apprenticeships/further-information/,/hr/learning-development/apprenticeships/levy/further-information,5,Multistep guide,14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
9,Applying,Apprenticeship levy: Applying,https://www.york.ac.uk/admin/hr/learning-and-development/apprenticeships/apply-for-apprenticeship-levy/,/admin/hr/learning-and-development/apprenticeships/apply-for-apprenticeship-levy/,/hr/learning-development/apprenticeships/levy/apply,5,"Multistep guide, Online form",14 Learning development and careers (apprenticeships),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6.3,Coaching and mentoring,,https://www.york.ac.uk/admin/hr/browse/learning-and-development/mentoring-and-coaching,/browse/learning-and-development/mentoring-and-coaching,/hr/learning-development/mentoring-coaching,3,Index page,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,Browse listing page,FALSE,Preview,Edit
1,Coaching,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/what-is-it/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/what-is-it/,/hr/learning-development/mentoring-coaching/coaching,4,Multistep parent,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,When to use coaching,Coaching: When to use,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/when-to-use/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/when-to-use/,/hr/learning-development/mentoring-coaching/coaching/when-to-use/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Principles,Coaching: Principles,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/principles/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/principles/,/hr/learning-development/mentoring-coaching/coaching/principles,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,Internal coaching pool,Coaching: Internal pool,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/internal-coaching-pool/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/internal-coaching-pool/,/hr/learning-development/mentoring-coaching/coaching/internal-pool/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Line manager's role,Coaching: Line manager's role,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/lm-role-in-coaching/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/lm-role-in-coaching/,/hr/learning-development/mentoring-coaching/coaching/line-managers/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Applying,Coaching: Applying,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/applying/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/applying/,/hr/learning-development/mentoring-coaching/coaching/applying,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
7,Evaluation,Coaching: Evaluation,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/evaluation/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/evaluation/,/hr/learning-development/mentoring-coaching/coaching/evaluation,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
8,Testimonials,Coaching: Testimonials,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/coaching/testimonials/,/admin/hr/learning-and-development/mentoring-and-coaching/coaching/testimonials/,/hr/learning-development/mentoring-coaching/coaching/testimonials/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
2,Mentoring scheme for new lecturers,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/new-lecturers/introduction/,/admin/hr/learning-and-development/mentoring-and-coaching/new-lecturers/introduction/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/,4,Information page,15 Learning development and careers (mentoring and coaching),Query - general,Fine as is,Susan Kane,Should the title be more clearly labelled - 'Mentoring scheme for new lecturers' so it doesn't look like a general mentoring scheme for anyone and to differentiate from the support staff and PGR schemes?,,multiPage-template-2017,FALSE,Preview,Edit
1,Guidance for Heads of Department: Choosing a mentor,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-hods/choosing-a-mentor/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-hods/choosing-a-mentor/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/hods-guidance/,5,Multistep parent,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Characteristics of a good mentor,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-hods/good-mentor-characteristics/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-hods/good-mentor-characteristics/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/hods-guidance/characteristics/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
1,Guidance for mentors of new lecturers,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/meeting-your-mentee/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/meeting-your-mentee/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/,5,Multistep parent,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,"Assign these sections to Tasha for content migration.
Add related links box to the University staff scheme and PGR scheme

Not step-by-step",multiPage-template-2017,FALSE,Preview,Edit
2,Supporting research,Guidance for mentors of lecturers: Supporting research,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/supporting-research/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/supporting-research/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/supporting-research/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Supporting teaching and PGCAP,Guidance for mentors of lecturers: Supporting teaching and PGCAP,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/supporting-teaching/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/supporting-teaching/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/supporting-teaching/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,Skills that a mentor needs,Guidance for mentors of lecturers: Skills that a mentor needs,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/mentor-skills/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/mentor-skills/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/skills/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Practical application of skills,Guidance for mentors of lecturers: Practical application of skills,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/skills-application/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/skills-application/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/skills-application/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Dealing with difficult issues,Guidance for mentors of lecturers: Dealing with difficult issues,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/difficult-issues/,/admin/hr/learning-and-development/mentoring-and-coaching/guidance-for-mentors/difficult-issues/,/hr/learning-development/mentoring-coaching/mentoring-for-new-lecturers/mentor-guidance/issues/,6,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
1,Mentoring scheme for postgraduate researchers,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/background/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/background/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/,4,Multistep parent,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,"Assign these sections to Tasha for content migration.
Add related links box to the University staff scheme and lecturers scheme

Not step-by-step",multiPage-template-2017,FALSE,Preview,Edit
2,What's in for me?,Mentoring scheme for postgraduate researchers: Is it for me?,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/for-me/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/for-me/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/benefits/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
3,Purpose and scope of the scheme,Mentoring scheme for postgraduate researchers: Purpose,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/purpose/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/purpose/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/purpose/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
4,How the scheme works,Mentoring scheme for postgraduate researchers: How it works,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/how-it-works/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/how-it-works/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/how-it-works/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
5,Timescales,Mentoring scheme for postgraduate researchers: Timescales,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/timescales/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/timescales/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/timescales/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
6,Applying,Mentoring scheme for postgraduate researchers: Applying,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/applying/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/applying/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/applying/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Minor updates,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
7,Testimonials,Mentoring scheme for postgraduate researchers: Testimonials,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/quotes-from-users/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/post-grad-research-student/quotes-from-users/,/hr/learning-development/mentoring-coaching/mentoring-for-pgrs/testimonials/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,Mainly quotes which could use the quote content type,multiPage-template-2017,FALSE,Preview,Edit
2,Mentoring scheme for University staff,,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/purpose/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/,4,Multistep parent,15 Learning development and careers (mentoring and coaching),None,Fine as is,Susan Kane,,"Assign these sections to Tasha for content migration.
Add related links box to the lecturers scheme and PGR scheme

Not step-by-step",multiPage-template-2017,FALSE,Preview,Edit
2,Who is it for?,Mentoring scheme for University staff: Who is it for,https://www.york.ac.uk/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/what-is-mentoring-for/,/admin/hr/learning-and-development/mentoring-and-coaching/mentoring/support-staff/what-is-mentoring-for/,/hr/learning-development/mentoring-coaching/mentoring-for-support-staff/benefits/,5,Multistep guide,15 Learning development and careers (mentoring and coaching),None,Not Found,Susan Kane,,,multiPage-template-2017,FALSE,Preview,Edit
